Institution,Year,Count
Minnesota Indian Affairs Council,1998,32
Mississippi Dept. of Archives and History,2005,10
Mississippi State Univ.,2016,1
Missouri Dept. of Natural Resources,2005,5
Missouri Historical Society,1997,1
Montclair Art Museum,2009,1
Moravian Historical Society,2023,1
Morris Museum,2019,1
Mount Holyoke College Art Museum,2020,1
Murray State Univ.,2017,1
Museum of Natural History and Planetarium,2001,7
Museum of New Mexico,1998,8
Museum of Northern Arizona,2003,5
Museum of Ojibwa Culture and Marquette Mission Park - City of St. Ignace,2016,3
Museum of Riverside,2009,9
Museum of Science Boston,2023,1
Museum of Us,1999,22
Museum of the American Indian,2016,1
Museum of the Great Plains,2014,1
Mutter Museum,2021,2
National Guard Bureau,2013,1
Natural History Museum of Utah,2010,7
Nevada State Museum,1997,13
Neville Public Museum,1997,5
New Hampshire Division of Historical Resources,2002,1
New Jersey State Museum,2017,3
New Mexico State Univ. Museum + U.S. Dept. of Interior,2023,2
New York State Museum,2001,8
New York State Office of Parks,2021,1
New York University,2009,26
North Carolina Office of State Archaeology,2022,3
Northern Arizona University,2022,1
Northwest Christian College,2005,1
Northwest Museum of Arts and Culture,1996,3
Northwestern State Univ. of Louisiana,2001,2
Oakland Museum of California,1999,2
Oberlin College,2017,2
Ohio History Connection (formerly the Ohio Historical Society),2009,5
Ojai Valley Historical Society and Museum,1995,1
Oregon Historical Society,2022,1
Oregon Museum of Science and Industry,2010,1
Oregon Parks and Recreation Department,2019,3
Oregon State Univ.,2003,35
Oshkosh Public Museum,2000,1
Outagamie County Historical Society,1999,1
Pacific Lutheran University,2005,3
Palmer Foundation for Chiropractic History,2000,3
Palo Alto Junior Museum and Zoo,2007,1
Peabody Essex Museum,1993,6
Peabody-Harvard + Peabody-Andover,1998,2
Peabody-Harvard + Plimouth Plantation (joint notice),1998,1
Pejepscot Historical Society,2015,1
Pennsylvania State Univ.,2022,2
Pierce College,2006,3
Pilgrim Hall Museum,1998,1
Pima County Office of the Medical Examiner,2013,3
Pioneer Historical Society of Bent County,2008,2
Pittsburg State University,2023,1
Plimoth Patuxet Museum,1998,1
Pomona College,2002,1
Port Huron Museum,1998,1
Pratt Museum,1998,3
Princeton University,2018,8
Pueblo Grande Museum,2019,11
Putnam Museum,1993,5
Raymond M. Alf Museum of Paleontology,2008,3
Reading Public Museum,1996,1
Renton History Museum,2006,1
Rhinelander High School,2009,1
Rhode Island Historical Society,1998,1
Rice Univ.,2023,1
Robbins Museum of Archaeology,2017,1
Robert S. Peabody Institute of Archaeology,1992,42
Rochester Museum and Science Center,2000,9
Rome Historical Society,1994,2
SUNY,2009,16
Sabine River Authority of Texas,2011,1
Safety Harbor Museum of Natural History,2007,1
Saint Martin's Univ. Waynick Museum,2006,4
Salmon Ruins Museum,2021,2
San Bernardino County Museum,2015,7
San Bernardino County Sherriff-Coroner,2017,1
San Diego Archaeological Center,2004,6
San Diego State Univ.,2000,6
San Francisco State Univ.,2000,16
San Jose State Univ.,2019,1
San Luis Obispo County Archaeological Society,2018,1
Sandusky Library,2020,1
Santa Barbara Museum of Natural History,2020,5
Santa Cruz Museum of Natural History,1996,1
School for Advanced Research,2005,1
Seminole Tribe of Florida,2016,2
Seneca Falls Historical Society,2000,1
Seton Hall University,2022,2
Sheboygan County Historical Museum,2006,2
Shiloh Museum of Ozark History,2000,3
Sierra Mono Museum,2021,1
Sioux City Public Museum,2001,1
Sloan Museum,2019,1
Sonoma State University,2000,8
South Dakota State Historical Society,1994,15
Southern Methodist Univ.,1997,20
Southern Oregon Historical Society,2012,2
Southwestern College,1997,1
Springfield Science Museum,1996,9
St Joseph County Sheriff's Department,2013,1
St. Joseph Museums,2016,3
St. Lawrence University,2008,2
St. Louis Science Center,2023,1
Stanford Univ. Heritage Services,2012,3
State Center Community College District - Fresno City College,2018,10
State Center Community College District - Reedly College,2016,1
State Historical Society of Iowa,2000,6
State Historical Society of North Dakota,2016,2
State Museum of Pennsylvania,2000,4
Stephen F. Austin State Univ.,2010,2
Sydney L. Wright Museum,1999,1
Syracuse University,2009,2
Temple University,2021,2
Tennessee Dept. of Environment and Conservation,2010,7
Tennessee Valley Authority,2011,66
Texarkana Museums System,2009,1
Texas A and M Univ.,2014,14
Texas Dept. of Transportation,2002,3
Texas Parks and Wildlife,2008,3
Texas State University,2015,2
The Region of Three Oaks Museum,2012,1
Tioga County Historical Society,1998,1
Toledo Zoological Society,2015,1
U.S. Dept. of Agriculture,1996,100
U.S. Dept. of Defense,1994,132
U.S. Dept. of Energy,1996,6
U.S. Dept. of Homeland Security,2008,2
U.S. Dept. of Interior,1992,417
U.S. Dept. of Justice,2000,6
U.S. Dept. of Justice Federal Bureau of Investigation Art Theft Program,2018,7
U.S. Dept. of State,2017,1
